err|fields.role|filename|lineno|@timestamp
'Series' object has no attribute 'reshape'|nan|base_worker.py|79|2019-08-01T11:04:26.121Z
'Series' object has no attribute 'reshape'|nan|train_helper.py|423|2019-08-02T02:26:38.408Z
job_progress: 0.5  has type JobProgress, but expected one of: int, long, float|nan|model_manager_main.py|380|2019-11-15T02:26:36.696Z
train_job_not_exist|nan|model_manager_main.py|414|2019-11-29T02:53:54.210Z
model_info_not_exist|nan|model_manager_main.py|235|2020-01-02T08:05:52.590Z
Variable rnn/multi_rnn_cell/cell_0/basic_lstm_cell/weights already exists, disallowed. Did you mean to set reuse=True in VarScope? Originally defined at:    File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/contrib/rnn/python/ops/core_rnn_cell_impl.py", line 1044, in _linear     _WEIGHTS_VARIABLE_NAME, [total_arg_size, output_size], dtype=dtype)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/contrib/rnn/python/ops/core_rnn_cell_impl.py", line 241, in __call__     concat = _linear([inputs, h], 4 * self._num_units, True)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/contrib/rnn/python/ops/core_rnn_cell_impl.py", line 713, in __call__     output, new_state = self._cell(inputs, state, scope) |nan|predict_helper.py|75|2019-10-17T06:45:22.129Z
(422) Reason: Unprocessable Entity HTTP response headers: HTTPHeaderDict({'Content-Type': 'application/json', 'Date': 'Fri, 11 Oct 2019 07:42:50 GMT', 'Transfer-Encoding': 'chunked'}) HTTP response body: {"kind":"Status","apiVersion":"v1","metadata":{},"status":"Failure","message":"Deployment.apps \"serving-e3e3306e-18ca-4f4f-8183-70e1abc06e46-kmqtwwdtnnoivvfqbguw9f\" is invalid: [metadata.labels: Invalid value: \"serving-e3e3306e-18ca-4f4f-8183-70e1abc06e46-kmqtwwdtnnoivvfqbguw9f\": must be no more than 63 characters, spec.selector.matchLabels: Invalid value: \"serving-e3e3306e-18ca-4f4f-8183-70e1abc06e46-kmqtwwdtnnoivvfqbguw9f\": must be no more than 63 characters, spec.selector: Invalid value: v1.LabelSelector{MatchLabels:map[string]string{\"type\":\"serving\", \"app\":\"serving-e3e3306e-18ca-4f4f-8183-70e1abc06e46-kmqtwwdtnnoivvfqbguw9f\", \"id\":\"serving-e3e3306e-18ca-4f4f-8183-70e1abc06e46-kmqtwwdtnnoivvfqbguw9f\"}, MatchExpressions:[]v1.LabelSelectorRequirement(nil)}: invalid label selector]","reason":"Invalid","details":{"name":"serving-e3e3306e-18ca-4f4f-8183-70e1abc06e46-kmqtwwdtnnoivvfqbguw9f","group":"apps","kind":"Deployment","causes":[{"reason":"FieldValueInvalid","message":"Invalid value: \"serving-e3e3306e-18ca-4f4f-8183-70e1abc06e46-kmqtwwdtnnoivvfqbguw9f\": must be no more than 63 characters","field":"metadata.labels"},{"reason":"FieldValueInvalid","message":"Invalid value: \"serving-e3e3306e-18ca-4f4f-8183-70e1abc06e46-kmqtwwdtnnoivvfqbguw9f\": must be no more than 63 characters","field":"metadata.labels"},{"reason":"FieldValueInvalid","message":"Invalid value: \"serving-e3e3306e-18ca-4f4f-8183-70e1abc06e46-kmqtwwdtnnoivvfqbguw9f\": must be no more than 63 characters","field":"spec.selector.matchLabels"},{"reason":"FieldValueInvalid","message":"Invalid value: \"serving-e3e3306e-18ca-4f4f-8183-70e1abc06e46-kmqtwwdtnnoivvfqbguw9f\": must be no more than 63 characters","field":"spec.selector.matchLabels"},{"reason":"FieldValueInvalid","message":"Invalid value: v1.LabelSelector{MatchLabels:map[string]string{\"type\":\"serving\", \"app\":\"serving-e3e3306e-18ca-4f4f-8183-70e1abc06e46-kmqtwwdtnnoivvfqbguw9f\", \"id\":\"serving-e3e3306e-18ca-4f4f-8183-70e1abc06e46-kmqtwwdtnnoivvfqbguw9f\"}, MatchExpressions:[]v1.LabelSelectorRequirement(nil)}: invalid label selector","field":"spec.selector"}]},"code":422}  |nan|serving_worker.py|141|2019-10-11T07:42:50.101Z
model_info_not_exist|nan|base_worker.py|80|2019-10-16T07:55:52.477Z
'NoneType' object has no attribute 'decode'|nan|base_worker.py|80|2019-10-31T09:42:10.719Z
model_info_not_exist|nan|base_worker.py|80|2020-01-02T08:05:52.639Z
Dimension must be 2 but is 3 for 'rnn_layer01/transpose' (op: 'Transpose') with input shapes: [?,0], [3].|nan|train_helper.py|163|2019-10-14T09:15:44.925Z
